,,,,,,,,,,,F1 from Challenge,,,,,,,,,,,,,F1 for Special Issue,,,Improvement from Challenge to Sepcial Issue,Best F1,Best F1 (2dpl),rank,
0.9103,0.9167,0.791,0.8727,0.9256,0.8775,0.8219,0.875,0.8932,0.8034,0.6969,0.7978,226,0.9236,0.8913,0.7752,0.8634,------,------,------,------,0.9056,0.8284,0.7204,0.8181,304,Jonathan Rubin; Saman Parvaneh; Asif Rahman; Saeed Babaeizadeh; Bryan Conroy,0.0203,0.8181,0.82,9,
0.9231,0.9691,0.8217,0.9046,0.9264,0.8774,0.8271,0.877,0.9031,0.8203,0.731,0.8181,282,______,______,______,______,______,______,______,______,______,______,______,______,___,Zhaohan Xiong; Jichao Zhao,#VALUE!,0.8181,0.82,9,
0.9281,0.9556,0.8031,0.8956,0.9448,0.8747,0.8544,0.8913,0.9129,0.7768,0.7272,0.8056,206,0.9373,0.967,0.816,0.9068,------,------,------,------,0.9144,0.7922,0.7336,0.8134,302,Dawid Smole_,0.0078,0.8134,0.81,16,
0.9966,0.9895,0.9846,0.9902,0.9931,0.9385,0.9772,0.9696,0.9024,0.8156,0.7194,0.8124,254,______,______,______,______,______,______,______,______,______,______,______,______,___,Sebastian D. Goodfellow; Danny Eytan; Andrew Goodwin; Robert Greer; Peter Laussen; Mjaye Mazwi,#VALUE!,0.8124,0.81,16,
0.9863,0.9895,0.9624,0.9794,0.9875,0.9348,0.9677,0.9633,0.8893,0.7785,0.681,0.7829,207,1,1,1,1,------,------,------,------,0.9098,0.7972,0.725,0.8107,313,Christoph Hoog Antink; Anne Kristin Braczynski; Steffen Leonhardt; Marian Walter,0.0278,0.8107,0.81,16,
0.9932,0.9792,0.9767,0.9831,0.9895,0.9355,0.9682,0.9644,0.9089,0.8007,0.7224,0.8107,210,______,______,______,______,______,______,______,______,______,______,______,______,___,Ashish Sharma; Shivnarayan Patidar,#VALUE!,0.8107,0.81,16,
0.8911,0.9263,0.7559,0.8578,0.9027,0.8637,0.7508,0.8391,0.9082,0.7856,0.7177,0.8038,210,0.902,0.9375,0.7769,0.8721,------,------,------,------,0.9088,0.8061,0.714,0.8096,301,Na Liu,0.0058,0.8096,0.81,16,
0.9043,0.9053,0.746,0.8519,0.9056,0.8547,0.7582,0.8395,0.9037,0.8067,0.7157,0.8087,213,0.9043,0.9053,0.746,0.8519,------,------,------,------,0.9037,0.8067,0.7157,0.8087,301,Radovan Smíšek; Lukáš Smital; Martin Vítek; Marina Ronzhina; Jakub Hejč; Andrea Němcová; Lucie Maršánová; Jiří Chmelík; Jana Kolářová; Ivo Provazník,0,0.8087,0.81,16,
0.9392,0.9474,0.8308,0.9058,0.9371,0.9165,0.8559,0.9031,0.8991,0.8136,0.7111,0.8079,276,______,______,______,______,______,______,______,______,______,______,______,______,___,Chen Yao; Liu Dayiheng; Cheng dongdong; Hu Wei; Xu Kun; Yang Kexin; Wang Jian; Jiang Zhe,#VALUE!,0.8079,0.81,16,
0.9898,0.9787,0.9545,0.9744,0.9796,0.9102,0.9437,0.9445,0.8831,0.646,0.6149,0.7147,274,1,1,1,1,------,------,------,------,0.8992,0.8096,0.7143,0.8077,301,Yao Chen; Xiao Wang; Yonghan Jung; Mohammad Adibuzzaman; Yuehwern Yih,0.093,0.8077,0.81,16,
0.8654,0.8222,0.6825,0.79,0.8827,0.7725,0.6855,0.7802,0.9085,0.7881,0.7177,0.8048,202,______,______,______,______,______,______,______,______,______,______,______,______,___,Chen Jiayu; Nigel Lovell; Stephen Redmond; Heba Khamis,#VALUE!,0.8048,0.8,24,
0.9899,0.9895,0.9846,0.988,0.9903,0.9361,0.9743,0.9669,0.9107,0.7376,0.7016,0.7833,219,0.9834,0.9783,0.9922,0.9846,------,------,------,------,0.9061,0.7848,0.7198,0.8036,303,Ruhi Mahajan; Oguz Akbilgic; Rishikesan Kamaleswaran; J.Andrew Howe,0.0203,0.8036,0.8,24,
0.8926,0.9231,0.7368,0.8508,0.9047,0.861,0.7609,0.8422,0.9034,0.8027,0.7036,0.8032,214,______,______,______,______,______,______,______,______,______,______,______,______,___,Joachim A. Behar; Aviv Rosenberg; Yael Yaniv; Julien Oster,#VALUE!,0.8032,0.8,24,
0.8754,0.8958,0.6977,0.823,0.8904,0.7903,0.7073,0.796,0.8989,0.8085,0.6974,0.8016,204,______,______,______,______,______,______,______,______,______,______,______,______,___,Ivaylo Christov; Vessela Krasteva; Iana Simova; Tatyana Neycheva; Ramun Schmid,#VALUE!,0.8016,0.8,24,
0.9589,0.9247,0.9,0.9279,0.9696,0.8494,0.9172,0.9121,0.9031,0.7895,0.7072,0.7999,208,______,______,______,______,______,______,______,______,______,______,______,______,___,Dionisije Sopic; Elisabetta De Giovanni; Amir Aminifar; David Atienza,#VALUE!,0.7999,0.8,24,
0.9231,0.9684,0.8217,0.9044,0.9207,0.8798,0.8055,0.8687,0.9,0.7846,0.7013,0.7953,210,0.92,0.9684,0.8125,0.9003,------,------,------,------,0.9006,0.7846,0.7007,0.7953,303,Gliner Vadim; Yaniv Yael,0,0.7953,0.8,24,
0.9302,0.8605,0.8489,0.8799,0.9427,0.8175,0.8419,0.8673,0.9125,0.757,0.7032,0.7909,204,______,______,______,______,______,______,______,______,______,______,______,______,___,Sasan Yazdani; Jean-Marc Vesin,#VALUE!,0.7909,0.79,30,
0.8974,0.9011,0.7244,0.841,0.9098,0.8606,0.7674,0.8459,0.899,0.7708,0.6944,0.7881,245,______,______,______,______,______,______,______,______,______,______,______,______,___,Marco Delai; Gaetano Scebba; Patrick Schwab; Jia Zhang,#VALUE!,0.7881,0.79,30,
0.8865,0.9263,0.7717,0.8615,0.9093,0.8883,0.8181,0.8719,0.8786,0.7953,0.6887,0.7875,247,______,______,______,______,______,______,______,______,______,______,______,______,___,Csaba Botos; Márton Áron Goda; Tamás Hakkel; Szilvia Herczeg; István Osztheimer; András Horváth,#VALUE!,0.7875,0.79,30,
______,______,______,______,______,______,______,______,______,______,______,______,___,0.8867,0.8791,0.697,0.8209,------,------,------,------,0.8892,0.8007,0.6723,0.7874,302,Luping Fang; Qing Pan; Kedong Mao,#VALUE!,0.7874,0.79,30,
0.9635,0.8471,0.8905,0.9003,0.9691,0.8705,0.9199,0.9198,0.9062,0.7385,0.7165,0.7871,222,0.8521,0.7297,0.6071,0.7296,------,------,------,------,0.9154,0.6898,0.7083,0.7711,310,Fernando Andreotti; Oliver Carr; Marco A. F. Pimentel; Adam Mahdi; Maarten De Vos,-0.016,0.7871,0.79,30,
0.8696,0.8269,0.7463,0.8143,0.9101,0.8008,0.7722,0.8277,0.9031,0.7508,0.6972,0.7837,210,______,______,______,______,______,______,______,______,______,______,______,______,___,Vykintas Maknickas; Algirdas Maknickas,#VALUE!,0.7837,0.78,35,
______,______,______,______,______,______,______,______,______,______,______,______,___,0.9109,0.8864,0.8182,0.8718,------,------,------,------,0.8931,0.7818,0.6688,0.7812,308,Mohamed Athif; Pamodh Yasawardene,#VALUE!,0.7812,0.78,35,
0.871,0.8571,0.7097,0.8126,0.8936,0.8657,0.7389,0.8327,0.9043,0.7452,0.6799,0.7765,208,______,______,______,______,______,______,______,______,______,______,______,______,___,Nadi Sadr; Thuy Pham; Madhuka Jayawardhana; Asghar Balaie; Rui Tang; Philip de Chazal,#VALUE!,0.7765,0.78,35,
0.9272,0.9388,0.8205,0.8955,0.9311,0.8747,0.8172,0.8743,0.9013,0.744,0.6812,0.7755,220,______,______,______,______,______,______,______,______,______,______,______,______,___,Maximilian Oremek; S. Zenker; Sebastian Schmitz; Jochen Garcke,#VALUE!,0.7755,0.78,35,
0.9966,0.9895,0.9846,0.9902,0.9918,0.9385,0.976,0.9688,0.8766,0.7781,0.6702,0.775,210,______,______,______,______,______,______,______,______,______,______,______,______,___,Runnan He; Yang Liu,#VALUE!,0.775,0.78,35,
0.9283,0.9348,0.8235,0.8955,0.9296,0.8956,0.8386,0.888,0.8912,0.7673,0.6651,0.7745,214,______,______,______,______,______,______,______,______,______,______,______,______,___,Bradley M Whitaker; Muhammed Rizwan; V Burak Aydemir; David V Anderson,#VALUE!,0.7745,0.77,40,
0.8993,0.9362,0.7324,0.856,0.8768,0.8644,0.739,0.8267,0.8766,0.6689,0.6272,0.7242,204,0.9175,0.9278,0.8065,0.8839,------,------,------,------,0.901,0.75,0.671,0.774,307,Vignesh Kalidas,0.0498,0.774,0.77,40,
0.858,0.9333,0.6364,0.8092,0.8739,0.8164,0.6526,0.781,0.8884,0.7647,0.6686,0.7739,216,0.8459,0.8367,0.5208,0.7345,------,------,------,------,0.902,0.7607,0.6555,0.7727,301,Elena Simarro Mondéjar; Santiago Jiménez Serrano; Jaime Yagüe Mayans; Conrado J. Calvo; Paco Castells; José Millet Roig,-0.0012,0.7739,0.77,40,
0.9053,0.9053,0.7571,0.8559,0.9292,0.8347,0.8137,0.8592,0.8923,0.7553,0.6715,0.773,237,______,______,______,______,______,______,______,______,______,______,______,______,___,Mohamed Limam; Frederic Precioso,#VALUE!,0.773,0.77,40,
0.8953,0.9787,0.7973,0.8904,0.9146,0.8817,0.8181,0.8714,0.872,0.7831,0.6571,0.7707,220,______,______,______,______,______,______,______,______,______,______,______,______,___,Miguel Lozano; Viktor Kifer; Francisco Martinez-Gil,#VALUE!,0.7707,0.77,40,
______,______,______,______,______,______,______,______,______,______,______,______,___,1,0.9792,0.9844,0.9878,------,------,------,------,0.9058,0.7069,0.6846,0.7657,304,Muhammad Uzair Zahid; Hassan Aqeel Khan; Syed Meesam Raza,#VALUE!,0.7657,0.77,40,
0.9032,0.9792,0.7257,0.8694,0.8943,0.9031,0.7104,0.836,0.9005,0.7267,0.6445,0.7572,244,______,______,______,______,______,______,______,______,______,______,______,______,___,Teo Soo-Kng; Yang Xulei; Nguyen Phu Binh; Gabriel Tjio; Feng Ling; Su Yi; Lim Toon Wei,#VALUE!,0.7572,0.76,46,
0.9635,0.9375,0.9254,0.9421,0.9774,0.8912,0.9472,0.9386,0.8928,0.725,0.646,0.7546,209,______,______,______,______,______,______,______,______,______,______,______,______,___,Zhenning Mei; Hongyu Chen; Xiao Gu; Wei Chen,#VALUE!,0.7546,0.75,47,
0.8729,0.8817,0.7213,0.8253,0.877,0.7578,0.6832,0.7727,0.8875,0.7204,0.6551,0.7543,252,______,______,______,______,______,______,______,______,______,______,______,______,___,Babak Afshin-Pour; Gabe Musso,#VALUE!,0.7543,0.75,47,
0.9533,0.9485,0.8943,0.932,0.9572,0.8634,0.8872,0.9026,0.8943,0.7312,0.6365,0.754,203,______,______,______,______,______,______,______,______,______,______,______,______,___,Joel Karel; Pietro Bonizzi; Kurt Driessens,#VALUE!,0.754,0.75,47,
0.8674,0.84,0.7465,0.818,0.8656,0.7872,0.7202,0.791,0.8672,0.7352,0.6445,0.749,207,______,______,______,______,______,______,______,______,______,______,______,______,___,Rymko; Perka; Solinski; Rosinski; Lepek,#VALUE!,0.749,0.75,47,
0.8553,0.8085,0.6441,0.7693,0.888,0.7756,0.698,0.7872,0.8973,0.7012,0.642,0.7468,209,______,______,______,______,______,______,______,______,______,______,______,______,___,Katarzyna Stepien; Iga Grzegorczyk,#VALUE!,0.7468,0.75,47,
0.8644,0.7179,0.6525,0.7449,0.8804,0.6984,0.6745,0.7511,0.8912,0.701,0.6137,0.7353,206,______,______,______,______,______,______,______,______,______,______,______,______,___,Griet Goovaerts; Martijn Boussé; Otto Debals; Lieven De Lathauwer; Sabine Van Huffel,#VALUE!,0.7353,0.74,52,
0.9515,0.9263,0.9077,0.9285,0.9573,0.8739,0.9107,0.9139,0.8691,0.7482,0.5804,0.7326,205,______,______,______,______,______,______,______,______,______,______,______,______,___,Javier de la Torre Costa; Alfredo Torregrosa Lloret; Aitana Pascual Belda; Gabriel García Pardo,#VALUE!,0.7326,0.73,53,
0.8119,0.7342,0.5931,0.7131,0.8491,0.7066,0.6443,0.7334,0.8826,0.6825,0.6239,0.7297,201,0.9899,0.9895,0.9692,0.9829,------,------,------,------,0.8476,0.7488,0.5885,0.7283,301,Heikki Väänänen; Jarno Mäkelä,-0.0014,0.7297,0.73,53,
0.8202,0.8667,0.48,0.7223,0.8653,0.7722,0.6417,0.7598,0.8798,0.7096,0.5906,0.7267,204,______,______,______,______,______,______,______,______,______,______,______,______,___,Pedro Álvarez; Andreu M. Climent; María S. Guillem,#VALUE!,0.7267,0.73,53,
0.8485,0.8043,0.5043,0.7191,0.8415,0.7409,0.5261,0.7028,0.88,0.743,0.5565,0.7265,202,______,______,______,______,______,______,______,______,______,______,______,______,___,Victor Manuel José Ocoa,#VALUE!,0.7265,0.73,53,
0.8498,0.8352,0.5517,0.7456,0.8481,0.7718,0.5816,0.7338,0.8667,0.7753,0.5364,0.7261,203,______,______,______,______,______,______,______,______,______,______,______,______,___,Manuel García; Juan Ródenas; Raúl Alcaraz; José J. Rieta,#VALUE!,0.7261,0.73,53,
0.9732,0.9485,0.9333,0.9516,0.9811,0.8947,0.9519,0.9426,0.857,0.7225,0.564,0.7145,206,______,______,______,______,______,______,______,______,______,______,______,______,___,Jos van der Westhuizen,#VALUE!,0.7145,0.71,58,
0.8362,0.86,0.6222,0.7728,0.8586,0.7664,0.6482,0.7577,0.8549,0.7284,0.5594,0.7142,207,______,______,______,______,______,______,______,______,______,______,______,______,___,B S Chandra,#VALUE!,0.7142,0.71,58,
0.8704,0.8571,0.6726,0.8,0.8804,0.7881,0.67,0.7795,0.8664,0.7179,0.5463,0.7102,203,______,______,______,______,______,______,______,______,______,______,______,______,___,kamran kiani; shadi ghiasi; mostafa abdollahpur; nasim madani,#VALUE!,0.7102,0.71,58,
0.7946,0.8409,0.5429,0.7261,0.837,0.7334,0.5867,0.719,0.8612,0.7059,0.5522,0.7064,206,______,______,______,______,______,______,______,______,______,______,______,______,___,LudiWang,#VALUE!,0.7064,0.71,58,
0.9446,0.9072,0.8421,0.898,0.9462,0.8497,0.8605,0.8855,0.8736,0.6072,0.602,0.6942,206,______,______,______,______,______,______,______,______,______,______,______,______,___,Ahmad B. A. Hassanat; Ghada Awad Altarawneh,#VALUE!,0.6942,0.69,62,
0.7845,0.7473,0.494,0.6752,0.8176,0.611,0.5966,0.6751,0.8272,0.5961,0.5078,0.6437,204,0.8772,0.809,0.7273,0.8045,------,------,------,------,0.8394,0.6594,0.5444,0.6811,304,Irena Jekova; Giovanni Bortolan; Todor Stoyanov; Ivan Dotsinsky,0.0374,0.6811,0.68,63,
0.8312,0.8,0.6212,0.7508,0.8623,0.6619,0.6406,0.7216,0.8377,0.669,0.5194,0.6754,214,______,______,______,______,______,______,______,______,______,______,______,______,___,Philip Aston; Esther Bonet Luz; Peter Charlton; Jane Lyle; Manasi Nandi; Hitesh Mistry; Daniel Abasolo,#VALUE!,0.6754,0.68,63,
______,______,______,______,______,______,______,______,______,______,______,______,___,0.8218,0.5797,0.4035,0.6017,------,------,------,------,0.8932,0.5584,0.5519,0.6679,319,Boris Pyakillya,#VALUE!,0.6679,0.67,65,
0.8086,0.8125,0.4286,0.6832,0.8243,0.7576,0.4685,0.6835,0.8524,0.6088,0.4184,0.6266,205,______,______,______,______,______,______,______,______,______,______,______,______,___,Lluís Borràs Ferrís; Ignacio José Pascual Fernández; Julio José Silva Rodríguez; Roberto Zazo Manzaneque,#VALUE!,0.6266,0.63,66,
0.8202,0.8046,0.5487,0.7245,0.7966,0.6062,0.4911,0.6313,0.811,0.6046,0.4278,0.6145,245,______,______,______,______,______,______,______,______,______,______,______,______,___,Ilya Potapov; Otto Pulkkinen; Esa Räsänen,#VALUE!,0.6145,0.61,67,
0.9474,0.7957,0.797,0.8467,0.9303,0.8137,0.842,0.862,0.8039,0.5446,0.4709,0.6065,205,______,______,______,______,______,______,______,______,______,______,______,______,___,Ruhallah Amandi M; Mohammad Farhadi; A.J. Zarrin,#VALUE!,0.6065,0.61,67,
0.6473,0.8381,0.5375,0.6743,0.6673,0.7198,0.5,0.629,0.6589,0.6704,0.4247,0.5847,204,______,______,______,______,______,______,______,______,______,______,______,______,___,Matthieu Da Silva—Filarder; Faezeh Marzbanrad,#VALUE!,0.5847,0.58,69,
0.7823,0.7525,0.2991,0.6113,0.7708,0.6244,0.293,0.5627,0.8158,0.5863,0.27,0.5574,204,______,______,______,______,______,______,______,______,______,______,______,______,___,María Rebeca Lliguin León; Marta Mares García; Juliana Andrea Suárez Hernández,#VALUE!,0.5574,0.56,70,
0.7246,0.2623,0.4225,0.4698,0.8012,0.368,0.537,0.5687,0.8079,0.4009,0.4364,0.5484,202,______,______,______,______,______,______,______,______,______,______,______,______,___,Erin Coppola,#VALUE!,0.5484,0.55,71,
0.8129,0.3562,0.4276,0.5322,0.834,0.2658,0.4807,0.5268,0.8763,0.2642,0.4643,0.5349,202,______,______,______,______,______,______,______,______,______,______,______,______,___,Carlos Fambuena Santos; Carlos Lopez Gomez; Pablo Abad Martinez; Gonzalo Collantes Pablo; Jose Millet Roig; Francisco Sales Castells Ramon,#VALUE!,0.5349,0.53,72,
0.9603,0.7105,0.84,0.8369,0.8071,0.3707,0.4733,0.5504,0.8234,0.3416,0.425,0.53,202,______,______,______,______,______,______,______,______,______,______,______,______,___,Octavian-Lucian Hasna; Rodica Potolea,#VALUE!,0.53,0.53,73,
0.7492,0.6757,0.4417,0.6222,0.7938,0.541,0.5367,0.6238,0.7728,0.4048,0.3556,0.5111,204,______,______,______,______,______,______,______,______,______,______,______,______,___,Ines Chavarria Marques; Irene Cuenca Ortola; Laura Ferrero Montes; Eva Gil San Antonio,#VALUE!,0.5111,0.51,74,
0.8854,0.8352,0.7241,0.8149,0.886,0.7262,0.7155,0.7759,0.8287,0.3529,0.3181,0.4999,226,______,______,______,______,______,______,______,______,______,______,______,______,___,Mihalis Nicolaou; Hooman Oroojeni Mohamad Javad,#VALUE!,0.4999,0.5,75,
0.619,0.623,0.3697,0.5372,0.6479,0.4493,0.3766,0.4913,0.6647,0.4462,0.3245,0.4784,201,______,______,______,______,______,______,______,______,______,______,______,______,___,Sergey S. Krivenko,#VALUE!,0.4784,0.48,76,
______,______,______,______,______,______,______,______,______,______,______,______,___,0.5398,0.5614,0.4038,0.5017,------,------,------,------,0.549,0.5214,0.345,0.4718,310,Simon Geirnaert,#VALUE!,0.4718,0.47,77,
0.7423,0.5444,0,0.4289,0.7744,0.4525,0,0.409,0.8202,0.4172,0,0.4124,202,______,______,______,______,______,______,______,______,______,______,______,______,___,* Example entry,#VALUE!,0.4124,0.41,,
______,______,______,______,______,______,______,______,______,______,______,______,___,0.7423,0.5444,0,0.4289,------,------,------,------,0.8189,0.4127,0,0.4105,304,Han Wei,#VALUE!,0.4105,0.41,78,
______,______,______,______,______,______,______,______,______,______,______,______,___,0.8065,0.8049,0.7027,0.7714,------,------,------,------,0.7577,0.0769,0.1642,0.3329,305,Muhammad Imran,#VALUE!,0.3329,0.33,79,
0.3915,0.2308,0.2114,0.2779,0.4282,0.1357,0.2601,0.2747,0.4448,0.1163,0.1818,0.2476,203,______,______,______,______,______,______,______,______,______,______,______,______,___,raviteja mullapudi; rajarao mullapudi; Phanikiran Chintalapati,#VALUE!,0.2476,0.25,80,
,,,,,,,,,,,73,count,,,,,,,,,,,,26,,count,,,80,80 entries,
0.774,0.774,0.774,0.774,0.774,0.774,0.774,0.774,0.774,0.774,0.774,0.7742,Median,0.92055,0.913,0.80325,0.8739,,,,,0.90325,0.7885,0.71115,0.79945,,Median,,0.774,0.77,,
0.99439,0.9895,0.9846,0.98877,0.990825,0.93694,0.974825,0.967565,0.911735,0.824285,0.737545,0.825315,95th percentil,1,1,1,1,,,,,0.91855,0.83815,0.74615,0.8312,,95th percentile,,0.8278,0.83,,
